419,371,27,0.210815
419,371,28,0.156304
419,371,29,0.11132
419,371,30,0.122415
419,371,31,0.0781172
420,371,27,0.235234
420,371,28,0.199353
420,371,29,0.145864
420,371,30,0.112272
420,371,31,0.123277
421,371,27,0.679027
421,371,28,0.69044
421,371,29,0.599924
421,371,30,0.168432
421,371,31,0.167962
422,371,27,0.700417
422,371,28,0.69072
422,371,29,0.676611
422,371,30,0.355987
422,371,31,0.201736
423,371,27,0.175366
423,371,28,0.26446
423,371,29,0.290097
423,371,30,0.344651
423,371,31,0.322719
419,372,27,0.267332
419,372,28,0.177984
419,372,29,0.123088
419,372,30,0.123002
419,372,31,0.0892365
420,372,27,0.836129
420,372,28,0.835934
420,372,29,0.233988
420,372,30,0.201631
420,372,31,0.156497
421,372,27,0.884133
421,372,28,0.902484
421,372,29,0.744698
421,372,30,0.729532
421,372,31,0.201355
422,372,27,0.87054
422,372,28,0.876142
422,372,29,0.823624
422,372,30,0.77756
422,372,31,0.654103
423,372,27,0.229447
423,372,28,0.699734
423,372,29,0.731119
423,372,30,0.754047
423,372,31,0.661594
419,373,27,0.779407
419,373,28,0.233754
419,373,29,0.156543
419,373,30,0.111519
419,373,31,0.0784412
420,373,27,0.896296
420,373,28,0.885085
420,373,29,0.801188
420,373,30,0.231621
420,373,31,0.234197
421,373,27,0.907032
421,373,28,0.919397
421,373,29,0.928502
421,373,30,0.803089
421,373,31,0.759457
422,373,27,0.904848
422,373,28,0.918418
422,373,29,0.917291
422,373,30,0.868717
422,373,31,0.789602
423,373,27,0.722959
423,373,28,0.84368
423,373,29,0.824612
423,373,30,0.85272
423,373,31,0.757723
419,374,27,0.814409
419,374,28,0.278518
419,374,29,0.164274
419,374,30,0.122816
419,374,31,0.0895697
420,374,27,0.896157
420,374,28,0.907493
420,374,29,0.869027
420,374,30,0.781969
420,374,31,0.275887
421,374,27,0.897408
421,374,28,0.920741
421,374,29,0.916291
421,374,30,0.84033
421,374,31,0.794298
422,374,27,0.905882
422,374,28,0.920236
422,374,29,0.915173
422,374,30,0.883785
422,374,31,0.791656
423,374,27,0.701588
423,374,28,0.813318
423,374,29,0.834521
423,374,30,0.826019
423,374,31,0.782193
419,375,27,0.758523
419,375,28,0.286849
419,375,29,0.200485
419,375,30,0.134118
419,375,31,0.100869
420,375,27,0.892887
420,375,28,0.880964
420,375,29,0.861331
420,375,30,0.802064
420,375,31,0.257261
421,375,27,0.896031
421,375,28,0.916901
421,375,29,0.908857
421,375,30,0.881918
421,375,31,0.791839
422,375,27,0.856185
422,375,28,0.916097
422,375,29,0.905896
422,375,30,0.872637
422,375,31,0.793502
423,375,27,0.47682
423,375,28,0.753262
423,375,29,0.813935
423,375,30,0.802885
423,375,31,0.816033
